text,sentiment
I absolutely love this printer!,positive
"No complaints about the watch, it's decent.",neutral
The printer worked perfectly and made my day!,positive
The watch did its job as expected.,neutral
I absolutely love this printer!,positive
Extremely dissatisfied with this keyboard.,negative
This headphone is fantastic and exceeded my expectations.,positive
I hate this laptop. Very disappointing.,negative
The tablet is neither good nor bad.,neutral
The tablet is neither good nor bad.,neutral
I'm really happy with this headphone.,positive
What an amazing tablet. Highly recommend!,positive
This watch is fantastic and exceeded my expectations.,positive
I absolutely love this tablet!,positive
The laptop did its job as expected.,neutral
I absolutely love this printer!,positive
Extremely dissatisfied with this headphone.,negative
This watch is fantastic and exceeded my expectations.,positive
"This tablet is okay, nothing special.",neutral
This keyboard is terrible and a waste of money.,negative
This mouse is terrible and a waste of money.,negative
The microwave worked perfectly and made my day!,positive
It's an average tablet. Just fine.,neutral
Awful headphone. Would not recommend.,negative
"This microwave is okay, nothing special.",neutral
The mouse did its job as expected.,neutral
Awful printer. Would not recommend.,negative
This mouse is fantastic and exceeded my expectations.,positive
Awful microwave. Would not recommend.,negative
I hate this camera. Very disappointing.,negative
Awful headphone. Would not recommend.,negative
What an amazing camera. Highly recommend!,positive
I absolutely love this phone!,positive
"No complaints about the laptop, it's decent.",neutral
I absolutely love this keyboard!,positive
What an amazing printer. Highly recommend!,positive
The printer is neither good nor bad.,neutral
It's an average tablet. Just fine.,neutral
The tablet worked perfectly and made my day!,positive
I'm really happy with this tablet.,positive
This microwave is terrible and a waste of money.,negative
This printer is fantastic and exceeded my expectations.,positive
Awful headphone. Would not recommend.,negative
The laptop is neither good nor bad.,neutral
The keyboard is neither good nor bad.,neutral
What an amazing microwave. Highly recommend!,positive
"This microwave is okay, nothing special.",neutral
This mouse is terrible and a waste of money.,negative
The headphone did its job as expected.,neutral
Extremely dissatisfied with this camera.,negative
This printer is terrible and a waste of money.,negative
Awful keyboard. Would not recommend.,negative
It's an average laptop. Just fine.,neutral
"This phone is okay, nothing special.",neutral
What an amazing watch. Highly recommend!,positive
It's an average watch. Just fine.,neutral
I hate this laptop. Very disappointing.,negative
The keyboard did its job as expected.,neutral
I absolutely love this microwave!,positive
The camera is neither good nor bad.,neutral
The phone did its job as expected.,neutral
The tablet is neither good nor bad.,neutral
What an amazing headphone. Highly recommend!,positive
I hate this keyboard. Very disappointing.,negative
The phone broke after one use. Not worth it.,negative
Extremely dissatisfied with this headphone.,negative
It's an average laptop. Just fine.,neutral
I hate this camera. Very disappointing.,negative
The laptop broke after one use. Not worth it.,negative
The laptop broke after one use. Not worth it.,negative
What an amazing laptop. Highly recommend!,positive
This printer is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this headphone.,negative
This camera is fantastic and exceeded my expectations.,positive
"This mouse is okay, nothing special.",neutral
What an amazing phone. Highly recommend!,positive
Extremely dissatisfied with this mouse.,negative
I hate this tablet. Very disappointing.,negative
This laptop is terrible and a waste of money.,negative
The headphone did its job as expected.,neutral
This mouse is terrible and a waste of money.,negative
Extremely dissatisfied with this camera.,negative
This watch is fantastic and exceeded my expectations.,positive
"This keyboard is okay, nothing special.",neutral
This tablet is fantastic and exceeded my expectations.,positive
"This phone is okay, nothing special.",neutral
What an amazing keyboard. Highly recommend!,positive
The watch did its job as expected.,neutral
"No complaints about the laptop, it's decent.",neutral
I'm really happy with this watch.,positive
This laptop is fantastic and exceeded my expectations.,positive
I absolutely love this mouse!,positive
What an amazing mouse. Highly recommend!,positive
The laptop worked perfectly and made my day!,positive
I absolutely love this camera!,positive
What an amazing watch. Highly recommend!,positive
The tablet broke after one use. Not worth it.,negative
"No complaints about the printer, it's decent.",neutral
"No complaints about the microwave, it's decent.",neutral
The phone worked perfectly and made my day!,positive
This mouse is fantastic and exceeded my expectations.,positive
Awful watch. Would not recommend.,negative
This watch is fantastic and exceeded my expectations.,positive
I absolutely love this microwave!,positive
I hate this keyboard. Very disappointing.,negative
I'm really happy with this tablet.,positive
The camera did its job as expected.,neutral
The laptop did its job as expected.,neutral
The watch did its job as expected.,neutral
I absolutely love this headphone!,positive
The mouse is neither good nor bad.,neutral
I'm really happy with this headphone.,positive
The keyboard did its job as expected.,neutral
This watch is terrible and a waste of money.,negative
"No complaints about the watch, it's decent.",neutral
This headphone is terrible and a waste of money.,negative
"This keyboard is okay, nothing special.",neutral
Extremely dissatisfied with this keyboard.,negative
The headphone broke after one use. Not worth it.,negative
The printer is neither good nor bad.,neutral
I absolutely love this camera!,positive
The laptop broke after one use. Not worth it.,negative
The headphone is neither good nor bad.,neutral
This printer is fantastic and exceeded my expectations.,positive
The phone did its job as expected.,neutral
This tablet is terrible and a waste of money.,negative
"No complaints about the laptop, it's decent.",neutral
It's an average microwave. Just fine.,neutral
The printer did its job as expected.,neutral
This printer is terrible and a waste of money.,negative
This camera is fantastic and exceeded my expectations.,positive
The camera is neither good nor bad.,neutral
I hate this tablet. Very disappointing.,negative
The laptop worked perfectly and made my day!,positive
It's an average keyboard. Just fine.,neutral
"This camera is okay, nothing special.",neutral
This tablet is terrible and a waste of money.,negative
The phone is neither good nor bad.,neutral
Extremely dissatisfied with this headphone.,negative
The keyboard worked perfectly and made my day!,positive
"No complaints about the laptop, it's decent.",neutral
The laptop broke after one use. Not worth it.,negative
The mouse did its job as expected.,neutral
The printer did its job as expected.,neutral
The watch did its job as expected.,neutral
I absolutely love this tablet!,positive
This printer is fantastic and exceeded my expectations.,positive
I absolutely love this watch!,positive
"This laptop is okay, nothing special.",neutral
This microwave is fantastic and exceeded my expectations.,positive
What an amazing phone. Highly recommend!,positive
I'm really happy with this phone.,positive
The laptop is neither good nor bad.,neutral
I absolutely love this laptop!,positive
The laptop did its job as expected.,neutral
"This phone is okay, nothing special.",neutral
This phone is fantastic and exceeded my expectations.,positive
What an amazing mouse. Highly recommend!,positive
Awful watch. Would not recommend.,negative
The printer worked perfectly and made my day!,positive
I absolutely love this printer!,positive
Awful camera. Would not recommend.,negative
It's an average laptop. Just fine.,neutral
What an amazing camera. Highly recommend!,positive
"This printer is okay, nothing special.",neutral
I absolutely love this microwave!,positive
The camera broke after one use. Not worth it.,negative
I absolutely love this microwave!,positive
The keyboard did its job as expected.,neutral
It's an average printer. Just fine.,neutral
I absolutely love this printer!,positive
I absolutely love this microwave!,positive
Extremely dissatisfied with this printer.,negative
The headphone worked perfectly and made my day!,positive
I absolutely love this keyboard!,positive
What an amazing headphone. Highly recommend!,positive
I hate this camera. Very disappointing.,negative
I absolutely love this printer!,positive
Extremely dissatisfied with this mouse.,negative
This laptop is fantastic and exceeded my expectations.,positive
"No complaints about the watch, it's decent.",neutral
Awful watch. Would not recommend.,negative
The headphone did its job as expected.,neutral
The keyboard is neither good nor bad.,neutral
"No complaints about the microwave, it's decent.",neutral
This printer is fantastic and exceeded my expectations.,positive
This headphone is fantastic and exceeded my expectations.,positive
"No complaints about the phone, it's decent.",neutral
I absolutely love this laptop!,positive
Awful laptop. Would not recommend.,negative
I hate this camera. Very disappointing.,negative
I'm really happy with this camera.,positive
I'm really happy with this camera.,positive
"No complaints about the mouse, it's decent.",neutral
The mouse broke after one use. Not worth it.,negative
The phone did its job as expected.,neutral
The phone is neither good nor bad.,neutral
Awful watch. Would not recommend.,negative
The headphone did its job as expected.,neutral
This watch is fantastic and exceeded my expectations.,positive
Awful microwave. Would not recommend.,negative
The tablet worked perfectly and made my day!,positive
The laptop did its job as expected.,neutral
"No complaints about the watch, it's decent.",neutral
This laptop is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this keyboard.,negative
"No complaints about the camera, it's decent.",neutral
"No complaints about the laptop, it's decent.",neutral
The headphone broke after one use. Not worth it.,negative
The tablet is neither good nor bad.,neutral
This mouse is terrible and a waste of money.,negative
This keyboard is terrible and a waste of money.,negative
The printer broke after one use. Not worth it.,negative
Awful tablet. Would not recommend.,negative
This printer is fantastic and exceeded my expectations.,positive
I absolutely love this keyboard!,positive
I absolutely love this microwave!,positive
I absolutely love this phone!,positive
"No complaints about the mouse, it's decent.",neutral
The microwave worked perfectly and made my day!,positive
"This mouse is okay, nothing special.",neutral
"No complaints about the keyboard, it's decent.",neutral
The watch did its job as expected.,neutral
Awful keyboard. Would not recommend.,negative
It's an average watch. Just fine.,neutral
Extremely dissatisfied with this camera.,negative
What an amazing laptop. Highly recommend!,positive
I absolutely love this mouse!,positive
"No complaints about the camera, it's decent.",neutral
The watch did its job as expected.,neutral
The watch is neither good nor bad.,neutral
This microwave is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this keyboard.,negative
The headphone is neither good nor bad.,neutral
This camera is fantastic and exceeded my expectations.,positive
I absolutely love this mouse!,positive
Extremely dissatisfied with this camera.,negative
What an amazing laptop. Highly recommend!,positive
Extremely dissatisfied with this watch.,negative
The headphone is neither good nor bad.,neutral
I'm really happy with this camera.,positive
Awful printer. Would not recommend.,negative
I'm really happy with this watch.,positive
Awful microwave. Would not recommend.,negative
Extremely dissatisfied with this keyboard.,negative
The phone worked perfectly and made my day!,positive
The camera worked perfectly and made my day!,positive
The tablet worked perfectly and made my day!,positive
I absolutely love this keyboard!,positive
It's an average printer. Just fine.,neutral
Extremely dissatisfied with this keyboard.,negative
The microwave broke after one use. Not worth it.,negative
The microwave worked perfectly and made my day!,positive
What an amazing camera. Highly recommend!,positive
I'm really happy with this printer.,positive
Extremely dissatisfied with this keyboard.,negative
It's an average printer. Just fine.,neutral
I absolutely love this mouse!,positive
The camera worked perfectly and made my day!,positive
This phone is terrible and a waste of money.,negative
The phone is neither good nor bad.,neutral
"No complaints about the tablet, it's decent.",neutral
Extremely dissatisfied with this camera.,negative
I'm really happy with this printer.,positive
It's an average laptop. Just fine.,neutral
"No complaints about the camera, it's decent.",neutral
The watch broke after one use. Not worth it.,negative
"This mouse is okay, nothing special.",neutral
I'm really happy with this camera.,positive
"No complaints about the mouse, it's decent.",neutral
It's an average microwave. Just fine.,neutral
This tablet is terrible and a waste of money.,negative
Extremely dissatisfied with this headphone.,negative
This printer is terrible and a waste of money.,negative
What an amazing keyboard. Highly recommend!,positive
I hate this camera. Very disappointing.,negative
I'm really happy with this microwave.,positive
Extremely dissatisfied with this laptop.,negative
I hate this headphone. Very disappointing.,negative
I absolutely love this laptop!,positive
I absolutely love this watch!,positive
"No complaints about the printer, it's decent.",neutral
"This printer is okay, nothing special.",neutral
Awful camera. Would not recommend.,negative
The mouse broke after one use. Not worth it.,negative
I absolutely love this printer!,positive
What an amazing keyboard. Highly recommend!,positive
I absolutely love this microwave!,positive
What an amazing microwave. Highly recommend!,positive
Extremely dissatisfied with this keyboard.,negative
The phone broke after one use. Not worth it.,negative
"No complaints about the keyboard, it's decent.",neutral
This laptop is fantastic and exceeded my expectations.,positive
The mouse is neither good nor bad.,neutral
I absolutely love this headphone!,positive
I absolutely love this printer!,positive
Extremely dissatisfied with this headphone.,negative
"This keyboard is okay, nothing special.",neutral
The printer did its job as expected.,neutral
"No complaints about the microwave, it's decent.",neutral
This keyboard is terrible and a waste of money.,negative
Extremely dissatisfied with this tablet.,negative
I absolutely love this mouse!,positive
The tablet broke after one use. Not worth it.,negative
Extremely dissatisfied with this microwave.,negative
"This watch is okay, nothing special.",neutral
This tablet is fantastic and exceeded my expectations.,positive
The camera broke after one use. Not worth it.,negative
It's an average keyboard. Just fine.,neutral
What an amazing tablet. Highly recommend!,positive
What an amazing camera. Highly recommend!,positive
The printer did its job as expected.,neutral
The printer worked perfectly and made my day!,positive
This mouse is fantastic and exceeded my expectations.,positive
The phone broke after one use. Not worth it.,negative
Extremely dissatisfied with this mouse.,negative
This laptop is fantastic and exceeded my expectations.,positive
"This keyboard is okay, nothing special.",neutral
This watch is terrible and a waste of money.,negative
Awful camera. Would not recommend.,negative
"No complaints about the laptop, it's decent.",neutral
I'm really happy with this camera.,positive
What an amazing tablet. Highly recommend!,positive
What an amazing phone. Highly recommend!,positive
I absolutely love this keyboard!,positive
Extremely dissatisfied with this mouse.,negative
I'm really happy with this tablet.,positive
The laptop is neither good nor bad.,neutral
This phone is fantastic and exceeded my expectations.,positive
I absolutely love this watch!,positive
The phone did its job as expected.,neutral
The tablet did its job as expected.,neutral
This watch is fantastic and exceeded my expectations.,positive
What an amazing headphone. Highly recommend!,positive
I absolutely love this headphone!,positive
This tablet is fantastic and exceeded my expectations.,positive
This keyboard is terrible and a waste of money.,negative
The mouse worked perfectly and made my day!,positive
The headphone is neither good nor bad.,neutral
It's an average headphone. Just fine.,neutral
I'm really happy with this camera.,positive
The printer is neither good nor bad.,neutral
The mouse worked perfectly and made my day!,positive
I absolutely love this mouse!,positive
"No complaints about the headphone, it's decent.",neutral
The camera worked perfectly and made my day!,positive
What an amazing mouse. Highly recommend!,positive
The watch worked perfectly and made my day!,positive
It's an average printer. Just fine.,neutral
The mouse is neither good nor bad.,neutral
I'm really happy with this microwave.,positive
Extremely dissatisfied with this mouse.,negative
Extremely dissatisfied with this watch.,negative
"No complaints about the camera, it's decent.",neutral
The tablet worked perfectly and made my day!,positive
It's an average printer. Just fine.,neutral
This watch is fantastic and exceeded my expectations.,positive
The tablet worked perfectly and made my day!,positive
I'm really happy with this headphone.,positive
I absolutely love this camera!,positive
"This phone is okay, nothing special.",neutral
It's an average printer. Just fine.,neutral
Extremely dissatisfied with this tablet.,negative
The printer broke after one use. Not worth it.,negative
I hate this phone. Very disappointing.,negative
Extremely dissatisfied with this headphone.,negative
The tablet broke after one use. Not worth it.,negative
Extremely dissatisfied with this microwave.,negative
"This laptop is okay, nothing special.",neutral
Extremely dissatisfied with this microwave.,negative
I'm really happy with this mouse.,positive
I hate this laptop. Very disappointing.,negative
The headphone did its job as expected.,neutral
The headphone did its job as expected.,neutral
It's an average phone. Just fine.,neutral
The printer worked perfectly and made my day!,positive
This printer is terrible and a waste of money.,negative
I hate this watch. Very disappointing.,negative
"This camera is okay, nothing special.",neutral
I absolutely love this headphone!,positive
The headphone did its job as expected.,neutral
The watch worked perfectly and made my day!,positive
"This laptop is okay, nothing special.",neutral
The phone did its job as expected.,neutral
I absolutely love this mouse!,positive
What an amazing mouse. Highly recommend!,positive
I absolutely love this keyboard!,positive
I absolutely love this printer!,positive
What an amazing microwave. Highly recommend!,positive
I'm really happy with this mouse.,positive
This printer is fantastic and exceeded my expectations.,positive
I hate this tablet. Very disappointing.,negative
The keyboard worked perfectly and made my day!,positive
This laptop is fantastic and exceeded my expectations.,positive
I hate this keyboard. Very disappointing.,negative
The microwave is neither good nor bad.,neutral
I'm really happy with this mouse.,positive
This microwave is fantastic and exceeded my expectations.,positive
Awful phone. Would not recommend.,negative
The phone did its job as expected.,neutral
This watch is fantastic and exceeded my expectations.,positive
I absolutely love this headphone!,positive
The phone broke after one use. Not worth it.,negative
"No complaints about the laptop, it's decent.",neutral
"This keyboard is okay, nothing special.",neutral
This mouse is fantastic and exceeded my expectations.,positive
The laptop broke after one use. Not worth it.,negative
The phone worked perfectly and made my day!,positive
This watch is fantastic and exceeded my expectations.,positive
Awful tablet. Would not recommend.,negative
I hate this laptop. Very disappointing.,negative
What an amazing camera. Highly recommend!,positive
This printer is fantastic and exceeded my expectations.,positive
"No complaints about the laptop, it's decent.",neutral
This laptop is fantastic and exceeded my expectations.,positive
"This tablet is okay, nothing special.",neutral
It's an average laptop. Just fine.,neutral
"No complaints about the microwave, it's decent.",neutral
This mouse is terrible and a waste of money.,negative
This microwave is fantastic and exceeded my expectations.,positive
The keyboard broke after one use. Not worth it.,negative
This tablet is terrible and a waste of money.,negative
I absolutely love this microwave!,positive
The tablet worked perfectly and made my day!,positive
"This phone is okay, nothing special.",neutral
Awful microwave. Would not recommend.,negative
I hate this keyboard. Very disappointing.,negative
It's an average watch. Just fine.,neutral
I absolutely love this tablet!,positive
"This keyboard is okay, nothing special.",neutral
What an amazing watch. Highly recommend!,positive
This printer is terrible and a waste of money.,negative
The camera broke after one use. Not worth it.,negative
"This watch is okay, nothing special.",neutral
This phone is terrible and a waste of money.,negative
This microwave is terrible and a waste of money.,negative
This mouse is terrible and a waste of money.,negative
It's an average watch. Just fine.,neutral
The camera did its job as expected.,neutral
What an amazing phone. Highly recommend!,positive
It's an average printer. Just fine.,neutral
What an amazing phone. Highly recommend!,positive
I absolutely love this mouse!,positive
The camera worked perfectly and made my day!,positive
It's an average watch. Just fine.,neutral
The printer is neither good nor bad.,neutral
Extremely dissatisfied with this laptop.,negative
The keyboard is neither good nor bad.,neutral
I'm really happy with this tablet.,positive
This watch is terrible and a waste of money.,negative
"This camera is okay, nothing special.",neutral
This watch is terrible and a waste of money.,negative
It's an average camera. Just fine.,neutral
It's an average mouse. Just fine.,neutral
I absolutely love this microwave!,positive
The keyboard worked perfectly and made my day!,positive
"No complaints about the laptop, it's decent.",neutral
"This microwave is okay, nothing special.",neutral
"No complaints about the tablet, it's decent.",neutral
This watch is fantastic and exceeded my expectations.,positive
The phone worked perfectly and made my day!,positive
The phone worked perfectly and made my day!,positive
The phone did its job as expected.,neutral
The camera worked perfectly and made my day!,positive
I'm really happy with this keyboard.,positive
This laptop is terrible and a waste of money.,negative
It's an average keyboard. Just fine.,neutral
The keyboard is neither good nor bad.,neutral
The headphone is neither good nor bad.,neutral
"No complaints about the keyboard, it's decent.",neutral
The printer worked perfectly and made my day!,positive
This tablet is terrible and a waste of money.,negative
The keyboard is neither good nor bad.,neutral
Extremely dissatisfied with this phone.,negative
I'm really happy with this printer.,positive
I'm really happy with this laptop.,positive
The tablet broke after one use. Not worth it.,negative
I'm really happy with this camera.,positive
"This microwave is okay, nothing special.",neutral
I'm really happy with this watch.,positive
This camera is fantastic and exceeded my expectations.,positive
The tablet is neither good nor bad.,neutral
This mouse is terrible and a waste of money.,negative
Extremely dissatisfied with this mouse.,negative
Extremely dissatisfied with this phone.,negative
"This watch is okay, nothing special.",neutral
This microwave is terrible and a waste of money.,negative
The printer worked perfectly and made my day!,positive
This headphone is fantastic and exceeded my expectations.,positive
The watch worked perfectly and made my day!,positive
"No complaints about the headphone, it's decent.",neutral
I'm really happy with this watch.,positive
The watch did its job as expected.,neutral
Extremely dissatisfied with this tablet.,negative
What an amazing tablet. Highly recommend!,positive
The microwave worked perfectly and made my day!,positive
This phone is terrible and a waste of money.,negative
"This mouse is okay, nothing special.",neutral
Extremely dissatisfied with this mouse.,negative
Extremely dissatisfied with this watch.,negative
"No complaints about the headphone, it's decent.",neutral
Extremely dissatisfied with this mouse.,negative
The printer worked perfectly and made my day!,positive
The laptop broke after one use. Not worth it.,negative
I'm really happy with this phone.,positive
Extremely dissatisfied with this phone.,negative
"This camera is okay, nothing special.",neutral
The tablet did its job as expected.,neutral
"No complaints about the headphone, it's decent.",neutral
Awful printer. Would not recommend.,negative
This printer is terrible and a waste of money.,negative
This tablet is fantastic and exceeded my expectations.,positive
The headphone is neither good nor bad.,neutral
This watch is fantastic and exceeded my expectations.,positive
"This laptop is okay, nothing special.",neutral
What an amazing keyboard. Highly recommend!,positive
I'm really happy with this headphone.,positive
The phone broke after one use. Not worth it.,negative
The headphone is neither good nor bad.,neutral
It's an average printer. Just fine.,neutral
What an amazing keyboard. Highly recommend!,positive
What an amazing microwave. Highly recommend!,positive
Extremely dissatisfied with this headphone.,negative
I'm really happy with this headphone.,positive
This printer is terrible and a waste of money.,negative
Extremely dissatisfied with this microwave.,negative
I absolutely love this tablet!,positive
This headphone is terrible and a waste of money.,negative
"This watch is okay, nothing special.",neutral
"No complaints about the headphone, it's decent.",neutral
I absolutely love this watch!,positive
This keyboard is terrible and a waste of money.,negative
"This mouse is okay, nothing special.",neutral
This printer is terrible and a waste of money.,negative
I'm really happy with this camera.,positive
The watch is neither good nor bad.,neutral
I'm really happy with this keyboard.,positive
"This watch is okay, nothing special.",neutral
"No complaints about the headphone, it's decent.",neutral
This camera is fantastic and exceeded my expectations.,positive
It's an average laptop. Just fine.,neutral
"No complaints about the mouse, it's decent.",neutral
The laptop broke after one use. Not worth it.,negative
"No complaints about the headphone, it's decent.",neutral
I'm really happy with this keyboard.,positive
The keyboard worked perfectly and made my day!,positive
Extremely dissatisfied with this watch.,negative
The watch did its job as expected.,neutral
The printer is neither good nor bad.,neutral
I'm really happy with this phone.,positive
I'm really happy with this keyboard.,positive
What an amazing tablet. Highly recommend!,positive
It's an average camera. Just fine.,neutral
The tablet worked perfectly and made my day!,positive
I'm really happy with this camera.,positive
This watch is fantastic and exceeded my expectations.,positive
Awful phone. Would not recommend.,negative
"This headphone is okay, nothing special.",neutral
What an amazing tablet. Highly recommend!,positive
This mouse is fantastic and exceeded my expectations.,positive
It's an average keyboard. Just fine.,neutral
The laptop worked perfectly and made my day!,positive
This mouse is fantastic and exceeded my expectations.,positive
This microwave is fantastic and exceeded my expectations.,positive
I'm really happy with this headphone.,positive
The keyboard worked perfectly and made my day!,positive
This watch is fantastic and exceeded my expectations.,positive
This watch is fantastic and exceeded my expectations.,positive
This camera is fantastic and exceeded my expectations.,positive
I'm really happy with this microwave.,positive
The tablet is neither good nor bad.,neutral
"This headphone is okay, nothing special.",neutral
This keyboard is terrible and a waste of money.,negative
It's an average mouse. Just fine.,neutral
I'm really happy with this microwave.,positive
"No complaints about the keyboard, it's decent.",neutral
The keyboard worked perfectly and made my day!,positive
"This phone is okay, nothing special.",neutral
The mouse did its job as expected.,neutral
The phone worked perfectly and made my day!,positive
The microwave worked perfectly and made my day!,positive
I'm really happy with this tablet.,positive
I absolutely love this phone!,positive
I hate this camera. Very disappointing.,negative
"This laptop is okay, nothing special.",neutral
What an amazing printer. Highly recommend!,positive
I hate this camera. Very disappointing.,negative
Extremely dissatisfied with this watch.,negative
Awful microwave. Would not recommend.,negative
This phone is terrible and a waste of money.,negative
Awful camera. Would not recommend.,negative
I'm really happy with this phone.,positive
"This laptop is okay, nothing special.",neutral
What an amazing printer. Highly recommend!,positive
I'm really happy with this keyboard.,positive
What an amazing headphone. Highly recommend!,positive
The mouse broke after one use. Not worth it.,negative
What an amazing microwave. Highly recommend!,positive
I absolutely love this tablet!,positive
The headphone broke after one use. Not worth it.,negative
The microwave worked perfectly and made my day!,positive
"No complaints about the watch, it's decent.",neutral
This keyboard is fantastic and exceeded my expectations.,positive
What an amazing mouse. Highly recommend!,positive
Extremely dissatisfied with this microwave.,negative
The tablet is neither good nor bad.,neutral
The watch is neither good nor bad.,neutral
The phone worked perfectly and made my day!,positive
It's an average microwave. Just fine.,neutral
I absolutely love this laptop!,positive
It's an average microwave. Just fine.,neutral
This printer is fantastic and exceeded my expectations.,positive
What an amazing microwave. Highly recommend!,positive
Extremely dissatisfied with this phone.,negative
Awful headphone. Would not recommend.,negative
What an amazing mouse. Highly recommend!,positive
The mouse worked perfectly and made my day!,positive
I absolutely love this watch!,positive
The microwave worked perfectly and made my day!,positive
This mouse is terrible and a waste of money.,negative
"No complaints about the tablet, it's decent.",neutral
What an amazing tablet. Highly recommend!,positive
It's an average mouse. Just fine.,neutral
I'm really happy with this watch.,positive
The phone broke after one use. Not worth it.,negative
The mouse broke after one use. Not worth it.,negative
"This printer is okay, nothing special.",neutral
This keyboard is fantastic and exceeded my expectations.,positive
The tablet did its job as expected.,neutral
This mouse is terrible and a waste of money.,negative
I absolutely love this printer!,positive
I hate this phone. Very disappointing.,negative
It's an average headphone. Just fine.,neutral
It's an average headphone. Just fine.,neutral
The camera is neither good nor bad.,neutral
I hate this headphone. Very disappointing.,negative
Extremely dissatisfied with this headphone.,negative
I'm really happy with this tablet.,positive
"This laptop is okay, nothing special.",neutral
The laptop did its job as expected.,neutral
This phone is fantastic and exceeded my expectations.,positive
I absolutely love this headphone!,positive
Awful camera. Would not recommend.,negative
The laptop worked perfectly and made my day!,positive
I hate this laptop. Very disappointing.,negative
I'm really happy with this printer.,positive
The mouse is neither good nor bad.,neutral
"No complaints about the headphone, it's decent.",neutral
The tablet did its job as expected.,neutral
"This phone is okay, nothing special.",neutral
Awful headphone. Would not recommend.,negative
The microwave worked perfectly and made my day!,positive
Extremely dissatisfied with this tablet.,negative
The camera worked perfectly and made my day!,positive
This phone is fantastic and exceeded my expectations.,positive
The watch did its job as expected.,neutral
The microwave is neither good nor bad.,neutral
I'm really happy with this headphone.,positive
What an amazing tablet. Highly recommend!,positive
It's an average headphone. Just fine.,neutral
The tablet worked perfectly and made my day!,positive
I absolutely love this keyboard!,positive
This camera is terrible and a waste of money.,negative
What an amazing watch. Highly recommend!,positive
"No complaints about the keyboard, it's decent.",neutral
"No complaints about the mouse, it's decent.",neutral
Extremely dissatisfied with this watch.,negative
I hate this keyboard. Very disappointing.,negative
What an amazing camera. Highly recommend!,positive
The laptop did its job as expected.,neutral
What an amazing keyboard. Highly recommend!,positive
The microwave broke after one use. Not worth it.,negative
Awful watch. Would not recommend.,negative
The mouse worked perfectly and made my day!,positive
The laptop broke after one use. Not worth it.,negative
I'm really happy with this tablet.,positive
This microwave is terrible and a waste of money.,negative
This tablet is fantastic and exceeded my expectations.,positive
I absolutely love this laptop!,positive
It's an average tablet. Just fine.,neutral
I absolutely love this tablet!,positive
I absolutely love this microwave!,positive
Extremely dissatisfied with this phone.,negative
What an amazing printer. Highly recommend!,positive
Extremely dissatisfied with this camera.,negative
This keyboard is terrible and a waste of money.,negative
Extremely dissatisfied with this watch.,negative
"This printer is okay, nothing special.",neutral
It's an average printer. Just fine.,neutral
I absolutely love this phone!,positive
This microwave is fantastic and exceeded my expectations.,positive
The keyboard is neither good nor bad.,neutral
The headphone worked perfectly and made my day!,positive
I hate this keyboard. Very disappointing.,negative
Extremely dissatisfied with this printer.,negative
This printer is fantastic and exceeded my expectations.,positive
It's an average microwave. Just fine.,neutral
It's an average watch. Just fine.,neutral
What an amazing watch. Highly recommend!,positive
I hate this microwave. Very disappointing.,negative
It's an average camera. Just fine.,neutral
I'm really happy with this camera.,positive
The camera is neither good nor bad.,neutral
"No complaints about the phone, it's decent.",neutral
"This printer is okay, nothing special.",neutral
The laptop worked perfectly and made my day!,positive
The laptop broke after one use. Not worth it.,negative
"No complaints about the microwave, it's decent.",neutral
Extremely dissatisfied with this tablet.,negative
I'm really happy with this headphone.,positive
This printer is fantastic and exceeded my expectations.,positive
I'm really happy with this mouse.,positive
I hate this microwave. Very disappointing.,negative
It's an average camera. Just fine.,neutral
"No complaints about the laptop, it's decent.",neutral
"This mouse is okay, nothing special.",neutral
This microwave is fantastic and exceeded my expectations.,positive
The tablet broke after one use. Not worth it.,negative
I absolutely love this headphone!,positive
This headphone is fantastic and exceeded my expectations.,positive
It's an average camera. Just fine.,neutral
I hate this microwave. Very disappointing.,negative
It's an average phone. Just fine.,neutral
I'm really happy with this headphone.,positive
Awful tablet. Would not recommend.,negative
Extremely dissatisfied with this mouse.,negative
What an amazing mouse. Highly recommend!,positive
I hate this mouse. Very disappointing.,negative
The microwave worked perfectly and made my day!,positive
Extremely dissatisfied with this microwave.,negative
This tablet is fantastic and exceeded my expectations.,positive
What an amazing watch. Highly recommend!,positive
The tablet worked perfectly and made my day!,positive
The laptop is neither good nor bad.,neutral
The mouse worked perfectly and made my day!,positive
What an amazing tablet. Highly recommend!,positive
The tablet broke after one use. Not worth it.,negative
"No complaints about the tablet, it's decent.",neutral
I absolutely love this watch!,positive
"No complaints about the mouse, it's decent.",neutral
This tablet is fantastic and exceeded my expectations.,positive
The laptop broke after one use. Not worth it.,negative
"No complaints about the laptop, it's decent.",neutral
The headphone did its job as expected.,neutral
Awful microwave. Would not recommend.,negative
The microwave did its job as expected.,neutral
I hate this mouse. Very disappointing.,negative
This headphone is fantastic and exceeded my expectations.,positive
It's an average microwave. Just fine.,neutral
The printer is neither good nor bad.,neutral
The laptop worked perfectly and made my day!,positive
Awful camera. Would not recommend.,negative
This mouse is fantastic and exceeded my expectations.,positive
It's an average tablet. Just fine.,neutral
The camera worked perfectly and made my day!,positive
"No complaints about the headphone, it's decent.",neutral
